title,description,supplierName,supplierProductId,supplierUrl,category,imageUrls,supplierCost,shippingCost,currency,stockStatus
Nike Air Jordan 4 Retro Bred,The legendary Air Jordan 4 in Bred colorway worn by Michael Jordan in 1989. Flight netting on the sides. Visible Air unit in heel. Molded eyelets. Lace-lock system. Solid black rubber outsole with circular pivot point.,KickSupply Direct,KS-AJ4-BRED,https://supplier.example.com/ks-aj4-bred,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,72.00,8.00,USD,in_stock
Nike Air Jordan 11 Retro Concord,Michael Jordan's own personal favourite. AJ11 Concord in iconic patent leather upper. Carbon fiber plate. Full-length Air sole unit. Translucent rubber outsole. Lace lock system. One of the most iconic basketball shoes ever made.,KickSupply Direct,KS-AJ11-CON,https://supplier.example.com/ks-aj11-con,Fashion,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,78.00,9.00,USD,in_stock
Salehe Bembury New Balance 2002R,Collaboration between visionary designer Salehe Bembury and New Balance. 2002R with ABZORB DTS midsole. Suede and mesh upper in earthy tones. Unique traction outsole. Reflective branding details. A collector's grail.,NB Wholesale Hub,NB-2002R-SAL,https://supplier.example.com/nb-2002r-sal,Fashion,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,58.00,7.00,USD,in_stock
Nike Air Max 1 OG Anniversary,The shoe that started the Air Max revolution. Air Max 1 in OG anniversary colorway. Visible Max Air unit. Leather and mesh upper. Foam midsole. Herringbone rubber outsole. Tinker Hatfield's design masterpiece celebrating the original 1987 design.,KickSupply Direct,KS-AM1-ANN,https://supplier.example.com/ks-am1-ann,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,44.00,6.00,USD,in_stock
Adidas Forum Low Cloud White,Revived basketball classic from the 80s. Forum Low in clean cloud white. Leather upper with ankle strap. 3-Stripes branding. EVA midsole. Herringbone rubber outsole. Steeped in b-ball history and hip-hop culture. Available in full-family sizing.,Adidas Wholesale,AW-FORL-CWH,https://supplier.example.com/aw-forl-cwh,Fashion,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,26.00,4.50,USD,in_stock
On Running Cloud 5 All White,Swiss precision meets everyday comfort. On Cloud 5 with CloudTec sole technology. Engineered mesh upper. Zero-gravity foam cushioning. Helion superfoam. Speed Lace system available. The Swiss running brand loved by Roger Federer.,OnRunning Direct,ORD-CLD5-WHT,https://supplier.example.com/ord-cld5-wht,Sports,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,49.00,6.00,USD,in_stock
Hoka Clifton 9 Black,Maximum cushioning for everyday miles. Hoka Clifton 9 with Meta-Rocker geometry. Early-stage Meta-Rocker for smooth transitions. Full-EVA midsole. Jacquard knit upper. Flat-waisted Hoka geometry for added stability. Runner's favourite for long-distance comfort.,Hoka Supply Hub,HSH-CLFT9-BLK,https://supplier.example.com/hsh-clft9-blk,Sports,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,54.00,6.50,USD,in_stock
Nike Pegasus 41 University Blue,Nike's most popular running shoe. Pegasus 41 with dual stacked Zoom Air units. ReactX foam midsole. Engineered mesh upper. Hyper-reactive midsole foam. Full-length Zoom Air. Available in university blue — ready for the road.,KickSupply Direct,KS-PEG41-UBL,https://supplier.example.com/ks-peg41-ubl,Sports,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,48.00,5.50,USD,in_stock
Adidas Originals NMD R1 Core Black,Street-ready lifestyle runner with Boost technology. NMD R1 in core black. BOOST midsole for ultimate energy return. Primeknit upper. EVA plugs inspired by archival Adidas runners. Sock-like fit. A modern Adidas staple.,Adidas Wholesale,AW-NMDR1-CBK,https://supplier.example.com/aw-nmdr1-cbk,Fashion,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,39.00,5.00,USD,in_stock
Nike Air Jordan 3 Retro White Cement,The shoe that saved Michael Jordan's career. AJ3 White Cement with visible Air unit. Genuine leather upper. Elephant print overlays. Cement print Jumpman logo on tongue. Tumbled leather upper. A landmark in sneaker history.,KickSupply Direct,KS-AJ3-WCE,https://supplier.example.com/ks-aj3-wce,Fashion,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,65.00,7.50,USD,in_stock
New Balance 327 White Sea Salt,Retro-inspired lifestyle runner with modern details. 327 in white and sea salt. N-ergy midsole cushioning. Soft textile lining. Split outsole for flexibility. Retro arrow branding. A collaboration of archive design and modern craftsmanship.,NB Wholesale Hub,NB-327-WSS,https://supplier.example.com/nb-327-wss,Fashion,https://images.unsplash.com/photo-1584735175315-9d5df23be2c2?w=600,28.00,4.50,USD,in_stock
Saucony Jazz Original Vintage Navy,Boston-born running heritage. Saucony Jazz Original Vintage in navy. Pigskin and nylon upper. XT-900 carbon rubber outsole. Shock-absorbing EVA midsole. Durable construction. Tri-density EVA midsole. A classic that's been in production since 1981.,Saucony Wholesale,SW-JZZO-NVY,https://supplier.example.com/sw-jzzo-nvy,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600,21.00,4.00,USD,in_stock
Brooks Ghost 16 Run Happy Blue,Every-runner's dream shoe. Brooks Ghost 16 with DNA LOFT v3 cushioning. GuideRails holistic support system. 3D Fit Print upper. BioMoGo DNA midsole. Segmented Crash Pad outsole. Run Happy in blue — built for the long haul.,Brooks Supply Direct,BSD-GHST16-BLU,https://supplier.example.com/bsd-ghst16-blu,Sports,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,52.00,6.00,USD,in_stock
Merrell Moab 3 Mid GTX,All-terrain hiking boot for serious adventurers. Moab 3 Mid GTX with GORE-TEX waterproofing. Vibram TC5+ outsole. Air cushion heel. M Select GRIP outsole. Kinetic Fit Advanced insole. Bellows tongue. Built for day hikes to multi-day treks.,Merrell Trail Supply,MTS-MB3M-GTX,https://supplier.example.com/mts-mb3m-gtx,Sports,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=600,44.00,7.50,USD,in_stock
Nike Tech Fleece Joggers Heather Grey,Modern tech fleece jogger pants. Engineered with Nike Tech Fleece — a unique spacer fabric that's warmer and lighter than standard cotton fleece. Tapered leg with ribbed cuffs. Elastic waistband with internal drawcord. Side pockets and zip back pocket.,KickSupply Direct,KS-NTFJ-HGY,https://supplier.example.com/ks-ntfj-hgy,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,34.00,5.50,USD,in_stock
Adidas Adicolor Classics Firebird Tracksuit Black,The Adidas Firebird tracksuit iconic since the 70s. Recycled polyester fabric. 3-Stripes branding down the arms and legs. Full-zip jacket with stand-up collar. Ribbed cuffs and waistband. Set sold as jacket + pants. Classic trefoil logo embroidery.,Adidas Wholesale,AW-FBIRD-BLK,https://supplier.example.com/aw-fbird-blk,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,42.00,8.00,USD,in_stock
Nike Sportswear Club Fleece Tracksuit Navy,Comfortable and classic Nike Club Fleece tracksuit set. Brushed inside for warmth. Standard-fit hoodie with full-zip and adjustable hood. Pants with side pockets and zip back pocket. Navy colorway with embroidered Swoosh. Sold as matching set.,KickSupply Direct,KS-CFLTS-NVY,https://supplier.example.com/ks-cflts-nvy,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,38.00,7.00,USD,in_stock
Puma King Track Jacket Black Gold,Heritage track jacket inspired by King football roots. Lightweight woven fabric. Full-zip with stand-up collar. Puma Cat logo at chest. Embroidered branding details. Slim fit silhouette. Black with gold trim detailing. A European football classic reborn for streetwear.,Puma Direct Supply,PD-KINGJ-BGD,https://supplier.example.com/pd-kingj-bgd,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,29.00,5.00,USD,in_stock
Champion Reverse Weave Hoodie Oxford Grey,The reverse weave construction reduces vertical shrinkage. Champion Reverse Weave Hoodie in oxford grey. Three-panel hood with drawcord. Pouch pocket. Ribbed cuffs and hem. Left chest C logo. A heritage piece since 1934. Built for athletes demanding longevity.,Champion Supply Hub,CSH-RWHO-OXG,https://supplier.example.com/csh-rwho-oxg,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,22.00,5.50,USD,in_stock
Nike Dri-FIT Academy Tracksuit Blue,Performance tracksuit for training. Dri-FIT technology wicks sweat away from the body. Slim fit jacket and pants. Stretch fabric for full range of motion. Small Swoosh design at chest. Side pockets. Available in team royal blue. Worn by pros around the world.,KickSupply Direct,KS-DFATS-BLU,https://supplier.example.com/ks-dfats-blu,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,28.00,5.50,USD,in_stock
Adidas Tiro 23 Training Tracksuit Black White,The world's most popular training tracksuit. Tiro 23 with moisture-absorbing AEROREADY fabric. Zip fly with button. Elastic waistband with drawcord. Two side pockets. Straight-fit pants. 3-Stripes branding down the legs. Perfect for training or casual wear.,Adidas Wholesale,AW-TIRO23-BWH,https://supplier.example.com/aw-tiro23-bwh,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,32.00,6.00,USD,in_stock
Under Armour Unstoppable Joggers Charcoal,UA's most versatile training pant. Unstoppable joggers in charcoal. Woven stretch fabric for comfort and durability. UA Storm technology repels water without sacrificing breathability. Ribbed cuffs. Zippered side pockets. Drawcord waistband. Tapered fit.,UA Direct Supply,UADS-UNST-CHA,https://supplier.example.com/uads-unst-cha,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,36.00,5.50,USD,in_stock
Lululemon Surge Jogger Black,Premium performance jogger from Lululemon. Surge Jogger in black with Swift fabric — light and breathable. Four-way stretch for unrestricted movement. Secure-zip pocket. Drawcord waistband. Anti-stink finish. Reflective details for low-light visibility. The athlete's daily jogger.,LuluDirect Supply,LDS-SURJ-BLK,https://supplier.example.com/lds-surj-blk,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,48.00,5.00,USD,in_stock
Gymshark Crest Tracksuit Ink Navy,Gymshark's premium tracksuit set in ink navy. Crest collection designed for all-day versatility. Relaxed fit hoodie with kangaroo pocket. Matching jogger with side pockets. Soft French Terry fabric. Embroidered Gymshark logo at chest. The go-to matching set for gym and street.,Gymshark Wholesale,GW-CRSTTS-INK,https://supplier.example.com/gw-crstts-ink,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,38.00,6.50,USD,in_stock
New Balance Athletics Woven Jacket Wind Blue,Lightweight woven windbreaker from New Balance Athletics. Packable design for on-the-go use. Reflective NB logo. Stand-up collar. Full-zip with chin guard. Side pockets. Wind-resistant fabric. Wind blue colorway. Ideal for transitional weather and light workouts.,NB Wholesale Hub,NB-WOVJ-WBL,https://supplier.example.com/nb-wovj-wbl,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,34.00,5.50,USD,in_stock
Fila Settanta Vintage Track Jacket Red White Blue,Retro Fila Settanta track jacket with vintage appeal. Iconic red white and blue tricolor design. Velour fabric. Embroidered Fila logo. Full-zip with fold-over collar. A favourite on the tennis courts in the 70s and back in full streetwear force.,Fila Direct Supply,FDS-SETT-RWB,https://supplier.example.com/fds-sett-rwb,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,36.00,6.00,USD,in_stock
Kappa Banda Rastoria Tracksuit Black White,The Italian sports brand known for its logo kiss design. Kappa Banda Rastoria tracksuit in black and white. Moisture-wicking fabric. Slim fit. Omini kiss logo on each thigh and arm. Full-zip jacket with stand-up collar. A vintage-inspired modern classic.,Kappa Direct,KD-BRSTR-BWH,https://supplier.example.com/kd-brstr-bwh,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,31.00,5.50,USD,in_stock
Nike Therma-FIT Essential Tracksuit Smoke Grey,Winter-ready training tracksuit. Therma-FIT technology traps warm air next to your body. Pullover hoodie and tapered pants. Adjustable hood. Side pockets. Ribbed hem and cuffs. Smoke grey colorway with small Swoosh detail. Performance without compromising style.,KickSupply Direct,KS-TESS-SGY,https://supplier.example.com/ks-tess-sgy,Sports,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,44.00,7.00,USD,in_stock
Stüssy Stock Logo Hoodie Ash Grey,Stussy Stock logo hoodie in ash grey. Heavyweight fleece construction. Kangaroo pocket. Adjustable drawcord hood. Ribbed cuffs and hem. Embroidered Stock logo at left chest. A streetwear staple since 1980. Relaxed fit for layering.,StussyDirect,SD-STKLH-ASH,https://supplier.example.com/sd-stklh-ash,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,34.00,6.00,USD,in_stock
Supreme Box Logo Hoodie Black,The most coveted hoodie in streetwear. Supreme Box Logo Hoodie in black. Premium heavyweight cotton blend. Front kangaroo pocket. Classic box logo screen print at chest. Ribbed hem and cuffs. Relaxed fit. Only available seasonally — this edition sells out immediately.,StreetSupply Hub,SSH-BXLH-BLK,https://supplier.example.com/ssh-bxlh-blk,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,38.00,6.50,USD,in_stock
Off-White Arrow Sweatpants Black,Off-White signature sweatpants in black. Wavy diagonal arrow graphic down the leg. Elastic waistband with drawcord. Ribbed cuffs. Fleece-lined interior. Embroidered Industrial label detail on waistband. A luxury streetwear staple from Virgil Abloh's vision.,LuxeStreet Supply,LSS-OWARR-BLK,https://supplier.example.com/lss-owarr-blk,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,42.00,6.50,USD,in_stock
Palm Angels Track Pants Classic White Black,Italian luxury streetwear. Palm Angels Track Pants with bold logo racing stripes down each leg. Elasticated waistband. Slim tapered fit. Side pockets. Embroidered angel and palm logo. Premium stretch fabric. Worn by celebrities and athletes worldwide.,LuxeStreet Supply,LSS-PALM-WBK,https://supplier.example.com/lss-palm-wbk,Fashion,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600,52.00,7.50,USD,in_stock
Sony WH-1000XM5 Wireless Headphones Black,Industry-leading noise cancelling headphones. Sony WH-1000XM5 with 30 hours battery life. Multipoint connection for two devices simultaneously. Speak-to-Chat technology. Precise Voice Pickup for crystal-clear calls. 8 microphones. Foldable design for travel. USB-C charging.,TechGear Direct,TGD-WH1K5-BLK,https://supplier.example.com/tgd-wh1k5-blk,Electronics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600,89.00,8.50,USD,in_stock
Apple AirPods Pro Gen 2 USB-C,Apple's most advanced AirPods. AirPods Pro Gen 2 with Active Noise Cancellation up to 2x more powerful. Adaptive Audio. Personalized Spatial Audio. Conversation Awareness. IP54 dust and water resistant. USB-C charging case with Built-in Speaker.,AppleDirect Supply,ADS-APP2-USC,https://supplier.example.com/ads-app2-usc,Electronics,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=600,95.00,5.00,USD,in_stock
Samsung Galaxy S25 Ultra Titanium Black,Samsung's flagship ultra phone. Galaxy S25 Ultra with built-in S Pen. 200MP pro camera system with AI enhancements. Snapdragon 8 Elite processor. 5000mAh battery. 45W Super Fast Charging. 6.9-inch Dynamic AMOLED 2X display. Titanium frame.,TechGear Direct,TGD-GXS25-TBK,https://supplier.example.com/tgd-gxs25-tbk,Electronics,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600,148.00,9.00,USD,in_stock
Anker PowerCore 26800 Portable Charger,High-capacity portable charger for all your devices. Anker PowerCore 26800 with 26800mAh. Dual USB-A and USB-C outputs. Charges iPhone 15 Pro Max 5.5 times. PowerIQ and VoltageBoost technologies. Trickle-charging mode for small devices.,AnkerDirect Supply,ADS-PC268-BLK,https://supplier.example.com/ads-pc268-blk,Electronics,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=600,24.00,4.50,USD,in_stock
iPad Pro 13-inch M4 WiFi Space Black,Most powerful iPad ever. iPad Pro 13-inch with M4 chip. Ultra Retina XDR display with nano-texture glass. Apple Pencil Pro support. Magic Keyboard compatible. Outperforms most laptops. ProRes video recording. Thin at just 5.1mm — thinnest Apple product ever.,AppleDirect Supply,ADS-IPAD13-SBK,https://supplier.example.com/ads-ipad13-sbk,Electronics,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600,138.00,8.00,USD,in_stock
Bose QuietComfort 45 Headphones White Smoke,Bose legendary noise cancellation. QuietComfort 45 with Quiet and Aware modes. 24-hour battery life. Clear calls even in noisy environments. Balanced audio performance. Lightweight folding design. USB-C and 2.5mm audio jack. White Smoke colorway.,TechGear Direct,TGD-BQC45-WSM,https://supplier.example.com/tgd-bqc45-wsm,Electronics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600,74.00,7.00,USD,in_stock
GoPro Hero 13 Black Action Camera,The most versatile action camera. GoPro Hero 13 Black with 5.3K60 video. HyperSmooth 6.0 stabilization. 27MP photo. 30m waterproofing without a case. Enduro battery for 38% more performance in cold. Magnetic Swivel Clip included. The definitive adventure camera.,TechGear Direct,TGD-HERO13-BLK,https://supplier.example.com/tgd-hero13-blk,Electronics,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=600,78.00,7.50,USD,in_stock
Kindle Paperwhite Signature Edition,The best Kindle ever. Kindle Paperwhite Signature Edition with 32GB storage. Auto-adjusting front light. Wireless charging. 6.8-inch 300ppi display. 12 weeks of battery. Adjustable warm light. IPX8 waterproof. Glare-free display. Reads like real paper in bright sunlight.,TechGear Direct,TGD-KWPE-SIG,https://supplier.example.com/tgd-kwpe-sig,Electronics,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600,38.00,5.00,USD,in_stock
JBL Charge 5 Portable Speaker Blue,Powerful portable Bluetooth speaker with IP67 waterproof rating. JBL Charge 5 with 20 hours playtime. JBL Pro Sound. Powerful bass from passive radiators. PartyBoost for speaker pairing. USB-C charging. Power bank feature to charge your devices.,TechGear Direct,TGD-JBLC5-BLU,https://supplier.example.com/tgd-jblc5-blu,Electronics,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=600,52.00,6.00,USD,in_stock
Logitech MX Master 3S Wireless Mouse,The master of mice. MX Master 3S with 8K DPI Darkfield sensor. MagSpeed Electromagnetic scrolling. Quiet Click. 3 device multi-pairing. USB-C charging. Ergonomic design reduces muscle strain. App-specific customisations. For power users and creatives.,TechGear Direct,TGD-MXMS3-GRY,https://supplier.example.com/tgd-mxms3-gry,Electronics,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=600,42.00,5.00,USD,in_stock
Apple Watch Series 9 GPS 45mm Midnight,The most powerful Apple Watch yet. Series 9 with the S9 chip and Double Tap gesture. Always-On Retina display. Blood Oxygen app. Advanced heart rate monitoring. Crash Detection. ECG app. 18-hour battery. Carbon neutral option.,AppleDirect Supply,ADS-AWS9-MID,https://supplier.example.com/ads-aws9-mid,Electronics,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=600,98.00,6.00,USD,in_stock
Samsung 49-inch Odyssey OLED Curved Monitor,Curved ultrawide gaming monitor. Odyssey OLED G9 with 0.03ms response time. 240Hz refresh rate. VESA DisplayHDR True Black 400. Matte Anti-glare display. AMD FreeSync Premium Pro. NVIDIA G-Sync compatible. USB-C, DisplayPort, HDMI inputs.,TechGear Direct,TGD-ODSG9-49,https://supplier.example.com/tgd-odsg9-49,Electronics,https://images.unsplash.com/photo-1527443224154-c4a573d5f5ef?w=600,128.00,18.00,USD,in_stock
Dyson V15 Detect Absolute Vacuum,Laser reveals invisible dust. Dyson V15 Detect with piezo sensor counts and sizes microscopic particles. 60-minute battery. HEPA filtration captures allergens. High Torque XL cleaner head automatically adapts to different floor types. 11 accessories included.,HomeVibe Supply,HV-DYV15-ABS,https://supplier.example.com/hv-dyv15-abs,Home & Garden,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600,118.00,12.00,USD,in_stock
Nespresso Vertuo Next Capsule Machine,New generation of Nespresso with Centrifusion technology. Vertuo Next reads the barcode on each capsule for perfect extraction. 5 cup sizes from Espresso to Alto. WiFi connectivity. 40-second heat-up time. Recyclable aluminium capsules.,HomeVibe Supply,HV-NESV-NXT,https://supplier.example.com/hv-nesv-nxt,Home & Garden,https://images.unsplash.com/photo-1521302200778-33500d0f5587?w=600,58.00,8.50,USD,in_stock
Ninja Foodi 6-in-1 Air Fryer,6 appliances in one compact unit. Ninja Foodi with Air Fry, Air Roast, Bake, Reheat, Dehydrate and Whole Roast. 5.6-litre capacity. Up to 75% less fat than deep frying. Ceramic non-stick basket. Dishwasher-safe parts. Heats up in 3 minutes.,HomeVibe Supply,HV-NINJ-6N1,https://supplier.example.com/hv-ninj-6n1,Home & Garden,https://images.unsplash.com/photo-1585515320310-259814833e62?w=600,64.00,10.00,USD,in_stock
